date,spot,fut
2023-09-27,1168.6,1163.7
2023-09-28,1164.45,1162.5
2023-09-29,1166.26,1160.6
2023-10-02,1167.13,1166.8
2023-10-03,1130.89,1131.3
2023-10-04,1138.54,1132.5
2023-10-05,1124.48,1120.0
2023-10-06,1139.78,1138.4
2023-10-09,1150.37,1145.0
2023-10-10,1160.28,1157.0
2023-10-11,1167.29,1166.0
2023-10-12,1165.49,1161.5
2023-10-13,1166.66,1161.1
2023-10-16,1153.21,1146.5
2023-10-17,1141.03,1134.9
2023-10-18,1125.56,1125.0
2023-10-19,1104.89,1112.0
2023-10-20,1123.69,1117.0
2023-10-23,1106.85,1104.9
2023-10-24,1117.12,1112.0
2023-10-25,1113.32,1109.2
2023-10-26,1064.95,1060.0
2023-10-27,1067.57,1068.5
2023-10-30,1047.63,1039.9
2023-10-31,1039.38,1039.7
2023-11-01,1051.65,1047.5
2023-11-02,1087.5,1087.0
2023-11-03,1086.19,1087.0
2023-11-06,1103.52,1106.0
2023-11-07,1092.71,1095.4
2023-11-08,1129.95,1134.0
2023-11-09,1122.95,1125.0
2023-11-10,1109.05,1108.5
2023-11-13,1106.72,1107.0
2023-11-14,1119.28,1120.0
2023-11-15,1131.9,1134.0
2023-11-16,1132.6,1125.1
2023-11-17,1103.53,1105.0
2023-11-20,1102.85,1102.0
2023-11-21,1108.6,1111.0
2023-11-22,1109.8,1112.0
2023-11-23,1082.68,1080.0
2023-11-24,1087.34,1084.9
2023-11-27,1078.42,1076.0
2023-11-28,1088.51,1087.0
2023-11-29,1093.16,1092.1
2023-11-30,1081.7,1076.0
2023-12-01,1090.39,1090.1
2023-12-04,1107.16,1107.0
2023-12-05,1100.42,1099.0
2023-12-06,1109.27,1111.1
2023-12-07,1111.35,1112.0
2023-12-08,1114.89,1112.0
2023-12-11,1117.34,1117.0
2023-12-12,1121.21,1118.8
2023-12-13,1106.83,1107.0
2023-12-14,1104.49,1103.9
2023-12-15,1097.4,1099.3
2023-12-18,1084.67,1082.0
2023-12-19,1091.87,1091.3
2023-12-20,1097.01,1096.1
2023-12-21,1097.43,1094.7
2023-12-22,1097.45,1097.7
2023-12-25,1111.86,1115.0
2023-12-26,1115.52,1121.5
2023-12-27,1115.94,1116.9
2023-12-28,1128.51,1132.9
